Nombre,Gerencia área / area,Especialidad,Gerencia ACL,Asesor HSW,Ene,feb,mar,Abr,May,Jun,Jul,Ago,Sept,Oct,Nov,Dic
Usuario 245,Growth,Proposals ACL,Growth,Asesor 1,,,,,,,,,,,,
Usuario 246,Control de Proyectos / Control de Documentos,Control de Proyectos,BA Operations,Asesor 1,,,,,,,,,,,,
Usuario 247,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 248,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 2,,,,,,,,,1.0,,,
Usuario 249,Growth,Proposals ACL,Growth,Asesor 1,,,,,,,,,,,,
Usuario 250,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 251,"Legal, Compliance & Privacy ","Legal, Compliance & Privacy ",BA Resilience ,Asesor 1,,,,,,,,,,,,
Usuario 252,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 253,Execution,Estimaciones y Constructibilidad,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 254,Execution,Estructuras y Arquitectura,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 255,Control de Proyectos / Control de Documentos,Control de Proyectos,BA Operations,Asesor 1,,,,,,,,,,,,
Usuario 256, Execution,Electricidad e Instrumentacion,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 257,Control de Proyectos / Control de Documentos,Control de Proyectos,BA Operations,Asesor 1,,,,,,,,,,,,
Usuario 258,Growth,Proposals ACL,Growth,Asesor 1,,,,,,,,,,,,
Usuario 259,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 260,People,Talent Adquisition ,People,Asesor 1,,,,,,1,,,,,,
Usuario 261,Engineering,"Civil, Relaves e Hidraulica",Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 262,Control de Proyectos / Control de Documentos,Control de Proyectos,BA Operations,Asesor 1,,,,,,,,,,,,
Usuario 263,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 264,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 265,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 266,Global Technology,Service Management,BA Resilience ,Asesor 1,,,,,,,,,,,,
Usuario 267,Workplace,Correspondencia,BA Resilience ,Asesor 1,,,,,,,,,,,,
